Borough,Community District,Community District Name,Tobacco Retail Dealer Cap,Active Tobacco Retail Dealer Licenses,TRD Available Under Cap,Electronic Cigarette Retail Dealer Cap,Active Electronic Cigarette Retail Dealer Licenses,ECD Available Under Cap,Data As Of
Queens,411,Queens 11,28,39,0,15,26,0,03/15/2023
Queens,412,Queens 12,118,128,0,23,36,0,03/15/2023
Queens,413,Queens 13,54,63,0,19,32,0,03/15/2023
Queens,414,Queens 14,37,51,0,10,16,0,03/15/2023
Staten Island,501,Staten Island 1,99,120,0,34,61,0,03/15/2023
Staten Island,502,Staten Island 2,50,67,0,34,58,0,03/15/2023
Staten Island,503,Staten Island 3,42,64,0,32,57,0,03/15/2023
Manhattan,112,Manhattan 12,86,71,15,28,34,0,09/15/2023
Bronx,201,Bronx 1,63,44,19,13,16,0,09/15/2023
Bronx,202,Bronx 2,36,36,0,5,6,0,09/15/2023
Bronx,203,Bronx 3,45,42,3,8,8,0,09/15/2023
Bronx,204,Bronx 4,88,87,1,9,9,0,09/15/2023
Bronx,205,Bronx 5,68,68,0,14,19,0,09/15/2023
Bronx,206,Bronx 6,58,64,0,7,12,0,09/15/2023
Bronx,207,Bronx 7,63,88,0,18,20,0,09/15/2023
Bronx,208,Bronx 8,36,39,0,12,16,0,09/15/2023
Bronx,209,Bronx 9,78,69,9,15,22,0,09/15/2023
Bronx,210,Bronx 10,52,68,0,30,42,0,09/15/2023
Bronx,211,Bronx 11,55,74,0,19,29,0,09/15/2023
Bronx,212,Bronx 12,66,77,0,21,32,0,09/15/2023
Brooklyn,301,Brooklyn 1,114,132,0,53,88,0,09/15/2023
Brooklyn,302,Brooklyn 2,64,60,4,25,37,0,09/15/2023
Brooklyn,303,Brooklyn 3,97,84,13,20,28,0,09/15/2023
Brooklyn,304,Brooklyn 4,80,88,0,24,37,0,09/15/2023
Brooklyn,305,Brooklyn 5,94,68,26,15,16,0,09/15/2023
Brooklyn,306,Brooklyn 6,48,68,0,26,46,0,09/15/2023
Brooklyn,307,Brooklyn 7,64,69,0,13,18,0,09/15/2023
Brooklyn,308,Brooklyn 8,46,39,7,12,18,0,09/15/2023
Brooklyn,309,Brooklyn 9,39,43,0,10,18,0,09/15/2023
Brooklyn,310,Brooklyn 10,62,81,0,27,41,0,09/15/2023
Brooklyn,311,Brooklyn 11,87,100,0,31,47,0,09/15/2023
Brooklyn,312,Brooklyn 12,49,63,0,16,28,0,09/15/2023
Brooklyn,313,Brooklyn 13,30,31,0,18,32,0,09/15/2023
Brooklyn,314,Brooklyn 14,57,60,0,21,35,0,09/15/2023
Brooklyn,315,Brooklyn 15,59,69,0,32,48,0,09/15/2023
Brooklyn,316,Brooklyn 16,48,39,9,6,6,0,09/15/2023
Brooklyn,317,Brooklyn 17,59,63,0,9,15,0,09/15/2023
Brooklyn,318,Brooklyn 18,55,66,0,21,34,0,09/15/2023
Queens,401,Queens 1,106,136,0,46,78,0,09/15/2023
Queens,402,Queens 2,70,88,0,26,44,0,09/15/2023
Queens,403,Queens 3,64,78,0,20,34,0,09/15/2023
Queens,404,Queens 4,64,94,0,18,31,0,09/15/2023
Queens,405,Queens 5,99,145,0,35,56,0,09/15/2023
